序号	汉字	次数	频率	累计频率
3169	嵩	7603	0.001%	99.517%
3170	冕	7582	0.001%	99.518%
3171	骼	7582	0.001%	99.518%
3172	磋	7570	0.001%	99.519%
3173	蠕	7551	0.001%	99.520%
3174	诩	7534	0.001%	99.521%
3175	旱	7527	0.001%	99.521%
3176	惺	7504	0.001%	99.522%
3177	殴	7490	0.001%	99.523%
3178	梢	7484	0.001%	99.524%
3179	拚	7478	0.001%	99.524%
3180	裔	7477	0.001%	99.525%
3181	婶	7476	0.001%	99.526%
3182	惋	7464	0.001%	99.527%
3183	萎	7464	0.001%	99.527%
3184	觅	7440	0.001%	99.528%
3185	峭	7429	0.001%	99.529%
3186	枭	7408	0.001%	99.530%
3187	砂	7402	0.001%	99.530%
3188	驿	7364	0.001%	99.531%
3189	昱	7350	0.001%	99.532%
3190	缨	7338	0.001%	99.533%
3191	叭	7307	0.001%	99.533%
3192	蹿	7299	0.001%	99.534%
3193	绫	7277	0.001%	99.535%
3194	谐	7276	0.001%	99.535%
3195	茧	7269	0.001%	99.536%
3196	聆	7264	0.001%	99.537%
3197	帜	7263	0.001%	99.538%
3198	甸	7260	0.001%	99.538%
3199	踱	7223	0.001%	99.539%
3200	葡	7210	0.001%	99.540%
3201	榴	7186	0.001%	99.540%
3202	皙	7180	0.001%	99.541%
3203	汰	7161	0.001%	99.542%
3204	奄	7159	0.001%	99.543%
3205	腊	7155	0.001%	99.543%
3206	昼	7148	0.001%	99.544%
3207	澳	7148	0.001%	99.545%
3208	兑	7113	0.001%	99.545%
3209	诊	7109	0.001%	99.546%
3210	缜	7100	0.001%	99.547%
3211	腑	7095	0.001%	99.547%
3212	敷	7094	0.001%	99.548%
3213	晦	7090	0.001%	99.549%
3214	诵	7084	0.001%	99.550%
3215	邃	7073	0.001%	99.550%
3216	獠	7069	0.001%	99.551%
3217	鞑	7066	0.001%	99.552%
3218	辑	7064	0.001%	99.552%
3219	蜡	7061	0.001%	99.553%
3220	庇	7060	0.001%	99.554%
3221	滕	7050	0.001%	99.554%
3222	憎	7038	0.001%	99.555%
3223	悻	7032	0.001%	99.556%
3224	嗨	6998	0.001%	99.557%
3225	慷	6975	0.001%	99.557%
3226	荀	6967	0.001%	99.558%
3227	咄	6933	0.001%	99.559%
3228	寓	6919	0.001%	99.559%
3229	筝	6913	0.001%	99.560%
3230	逾	6899	0.001%	99.561%
3231	昕	6898	0.001%	99.561%
3232	藩	6892	0.001%	99.562%
3233	啤	6861	0.001%	99.563%
3234	缸	6846	0.001%	99.563%
3235	忡	6844	0.001%	99.564%
3236	璀	6841	0.001%	99.565%
3237	噪	6837	0.001%	99.565%
3238	璨	6819	0.001%	99.566%
3239	祢	6817	0.001%	99.567%
3240	幡	6810	0.001%	99.567%
3241	茉	6796	0.001%	99.568%
3242	粥	6784	0.001%	99.569%
3243	悴	6751	0.001%	99.569%
3244	曙	6742	0.001%	99.570%
3245	聿	6729	0.001%	99.571%
3246	烨	6728	0.001%	99.571%
3247	靶	6720	0.001%	99.572%
3248	颔	6714	0.001%	99.573%
3249	吒	6705	0.001%	99.573%
3250	绊	6701	0.001%	99.574%
3251	憔	6685	0.001%	99.575%
3252	募	6668	0.001%	99.575%
3253	洽	6665	0.001%	99.576%
3254	咏	6638	0.001%	99.577%
3255	框	6631	0.001%	99.577%
3256	酋	6621	0.001%	99.578%
3257	谬	6614	0.001%	99.579%
3258	萄	6589	0.001%	99.579%
3259	眺	6587	0.001%	99.580%
3260	钞	6575	0.001%	99.581%
3261	溟	6574	0.001%	99.581%
3262	痹	6574	0.001%	99.582%
3263	坪	6572	0.001%	99.583%
3264	挚	6564	0.001%	99.583%
3265	茄	6552	0.001%	99.584%
3266	凿	6540	0.001%	99.585%
3267	恬	6531	0.001%	99.585%
3268	邹	6497	0.001%	99.586%
3269	檀	6491	0.001%	99.586%
3270	褐	6484	0.001%	99.587%
3271	揖	6466	0.001%	99.588%
3272	冽	6450	0.001%	99.588%
3273	崽	6438	0.001%	99.589%
3274	蟹	6437	0.001%	99.590%
3275	涎	6436	0.001%	99.590%
3276	胯	6407	0.001%	99.591%
3277	瘩	6390	0.001%	99.592%
3278	抡	6389	0.001%	99.592%
3279	铛	6381	0.001%	99.593%
3280	猥	6365	0.001%	99.593%
3281	菇	6362	0.001%	99.594%
3282	疙	6361	0.001%	99.595%
3283	斟	6346	0.001%	99.595%
3284	塘	6340	0.001%	99.596%
3285	徊	6340	0.001%	99.597%
3286	函	6334	0.001%	99.597%
3287	勺	6334	0.001%	99.598%
3288	褪	6315	0.001%	99.598%
3289	遏	6309	0.001%	99.599%
3290	曦	6278	0.001%	99.600%
3291	睫	6265	0.001%	99.600%
3292	庚	6245	0.001%	99.601%
3293	蒲	6234	0.001%	99.602%
3294	芽	6230	0.001%	99.602%
3295	荫	6220	0.001%	99.603%
3296	徘	6212	0.001%	99.603%
3297	裘	6192	0.001%	99.604%
3298	槽	6190	0.001%	99.605%
3299	鬟	6188	0.001%	99.605%
3300	嘭	6187	0.001%	99.606%
3301	睽	6179	0.001%	99.606%
3302	煎	6154	0.001%	99.607%
3303	廓	6144	0.001%	99.608%
3304	稿	6134	0.001%	99.608%
3305	暄	6091	0.001%	99.609%
3306	滨	6081	0.001%	99.609%
3307	嗒	6074	0.001%	99.610%
3308	缰	6074	0.001%	99.611%
3309	谕	6061	0.001%	99.611%
3310	彰	6043	0.001%	99.612%
3311	蛙	6040	0.001%	99.612%
3312	窿	6037	0.001%	99.613%
3313	锵	6034	0.001%	99.614%
3314	旬	6032	0.001%	99.614%
3315	珂	6030	0.001%	99.615%
3316	猝	6014	0.001%	99.615%
3317	掺	6012	0.001%	99.616%
3318	嘈	6010	0.001%	99.617%
3319	缈	6006	0.001%	99.617%
3320	蟾	5999	0.001%	99.618%
3321	扈	5991	0.001%	99.618%
3322	耕	5973	0.001%	99.619%
3323	攸	5966	0.001%	99.620%
3324	嵋	5964	0.001%	99.620%
3325	萤	5963	0.001%	99.621%
3326	蜴	5954	0.001%	99.621%
3327	栅	5947	0.001%	99.622%
3328	曳	5938	0.001%	99.623%
3329	瑚	5938	0.001%	99.623%
3330	翱	5936	0.001%	99.624%
3331	攒	5932	0.001%	99.624%
3332	蜷	5926	0.001%	99.625%
3333	崛	5917	0.001%	99.625%
3334	惬	5903	0.001%	99.626%
3335	秽	5891	0.001%	99.627%
3336	芭	5878	0.001%	99.627%
3337	袱	5864	0.001%	99.628%
3338	缥	5859	0.001%	99.628%
3339	魇	5842	0.001%	99.629%
3340	磅	5835	0.001%	99.630%
3341	庐	5825	0.001%	99.630%
3342	鸽	5804	0.001%	99.631%
3343	礁	5793	0.001%	99.631%
3344	饵	5790	0.001%	99.632%
3345	撅	5785	0.001%	99.632%
3346	缔	5774	0.001%	99.633%
3347	晏	5762	0.001%	99.634%
3348	钮	5754	0.001%	99.634%
3349	琅	5748	0.001%	99.635%
3350	蔼	5735	0.001%	99.635%
3351	苛	5728	0.001%	99.636%
3352	饷	5710	0.001%	99.636%
3353	葵	5686	0.001%	99.637%
3354	阙	5673	0.001%	99.637%
3355	掳	5669	0.001%	99.638%
3356	晟	5667	0.001%	99.639%
3357	佗	5660	0.001%	99.639%
3358	稠	5635	0.001%	99.640%
3359	懵	5617	0.001%	99.640%
3360	嗣	5612	0.001%	99.641%
3361	韬	5602	0.001%	99.641%
3362	肴	5601	0.001%	99.642%
3363	渎	5582	0.001%	99.642%
3364	珀	5577	0.001%	99.643%
3365	琥	5570	0.001%	99.644%
3366	娉	5566	0.001%	99.644%
3367	咫	5551	0.001%	99.645%
3368	咻	5551	0.001%	99.645%
3369	恃	5548	0.001%	99.646%
3370	檐	5543	0.001%	99.646%
3371	怦	5530	0.001%	99.647%
3372	浦	5529	0.001%	99.647%
3373	颁	5529	0.001%	99.648%
3374	伶	5521	0.001%	99.649%
3375	祯	5512	0.001%	99.649%
3376	贷	5511	0.001%	99.650%
3377	茬	5502	0.001%	99.650%
3378	吝	5484	0.001%	99.651%
3379	扼	5476	0.001%	99.651%
3380	羌	5462	0.001%	99.652%
3381	瑭	5448	0.001%	99.652%
3382	隧	5447	0.001%	99.653%
3383	蘑	5443	0.001%	99.653%
3384	趾	5438	0.001%	99.654%
3385	缀	5408	0.001%	99.654%
3386	簌	5403	0.001%	99.655%
3387	捺	5402	0.001%	99.656%
3388	芜	5401	0.001%	99.656%
3389	殃	5398	0.001%	99.657%
3390	滢	5386	0.001%	99.657%
3391	唠	5380	0.001%	99.658%
3392	噼	5378	0.001%	99.658%
3393	矫	5356	0.001%	99.659%
3394	邮	5354	0.001%	99.659%
3395	掂	5337	0.001%	99.660%
3396	烽	5332	0.001%	99.660%
3397	恺	5327	0.001%	99.661%
3398	竿	5323	0.001%	99.661%
3399	绒	5316	0.001%	99.662%
3400	嫡	5313	0.001%	99.662%
3401	辙	5303	0.001%	99.663%
3402	啐	5300	0.001%	99.663%
3403	煽	5299	0.001%	99.664%
3404	糙	5298	0.001%	99.665%
3405	戎	5290	0.001%	99.665%
3406	禾	5287	0.001%	99.666%
3407	畴	5281	0.001%	99.666%
3408	枷	5278	0.001%	99.667%
3409	怅	5273	0.001%	99.667%
3410	籁	5270	0.001%	99.668%
3411	瘪	5269	0.001%	99.668%
3412	吆	5238	0.001%	99.669%
3413	甬	5237	0.001%	99.669%
3414	邢	5232	0.001%	99.670%
3415	栩	5224	0.001%	99.670%
3416	猖	5223	0.001%	99.671%
3417	叼	5213	0.001%	99.671%
3418	攘	5191	0.001%	99.672%
3419	芥	5185	0.001%	99.672%
3420	壕	5166	0.001%	99.673%
3421	昵	5162	0.001%	99.673%
3422	漱	5159	0.001%	99.674%
3423	紊	5147	0.001%	99.674%
3424	汀	5140	0.001%	99.675%
3425	酣	5138	0.001%	99.675%
3426	寐	5110	0.001%	99.676%
3427	锣	5106	0.001%	99.676%
3428	跷	5104	0.001%	99.677%
3429	亩	5090	0.001%	99.677%
3430	黏	5089	0.001%	99.678%
3431	舷	5074	0.001%	99.678%
3432	侈	5069	0.001%	99.679%
3433	鳄	5069	0.001%	99.679%
3434	靓	5043	0.000%	99.680%
3435	痊	5039	0.000%	99.680%
3436	溺	5036	0.000%	99.681%
3437	篝	5034	0.000%	99.681%
3438	惘	5030	0.000%	99.682%
3439	佼	5027	0.000%	99.682%
3440	娆	5022	0.000%	99.683%
3441	佯	5016	0.000%	99.683%
3442	瑛	5012	0.000%	99.684%
3443	勘	5009	0.000%	99.684%
3444	仕	5003	0.000%	99.685%
3445	舆	4993	0.000%	99.685%
3446	羲	4991	0.000%	99.686%
3447	虬	4978	0.000%	99.686%
3448	捻	4966	0.000%	99.687%
3449	螂	4956	0.000%	99.687%
3450	攥	4954	0.000%	99.688%
3451	蛤	4953	0.000%	99.688%
3452	侏	4939	0.000%	99.689%
3453	媲	4931	0.000%	99.689%
3454	荧	4921	0.000%	99.690%
3455	霏	4914	0.000%	99.690%
3456	氧	4903	0.000%	99.691%
3457	漉	4903	0.000%	99.691%
3458	贬	4901	0.000%	99.692%
3459	巳	4898	0.000%	99.692%
3460	珏	4867	0.000%	99.693%
3461	骁	4862	0.000%	99.693%
3462	萦	4854	0.000%	99.694%
3463	桦	4847	0.000%	99.694%
3464	羿	4828	0.000%	99.695%
3465	迂	4823	0.000%	99.695%
3466	券	4821	0.000%	99.696%
3467	殇	4814	0.000%	99.696%
3468	蜒	4811	0.000%	99.696%
3469	骋	4810	0.000%	99.697%
3470	浙	4804	0.000%	99.697%
3471	蹂	4800	0.000%	99.698%
3472	煦	4792	0.000%	99.698%
3473	臧	4784	0.000%	99.699%
3474	缎	4771	0.000%	99.699%
3475	蔷	4767	0.000%	99.700%
3476	煤	4757	0.000%	99.700%
3477	雏	4757	0.000%	99.701%
3478	孰	4751	0.000%	99.701%
3479	膏	4749	0.000%	99.702%
3480	坞	4735	0.000%	99.702%
3481	剌	4731	0.000%	99.703%
3482	忒	4722	0.000%	99.703%
3483	糜	4713	0.000%	99.704%
3484	蓓	4707	0.000%	99.704%
3485	屹	4705	0.000%	99.704%
3486	瞠	4702	0.000%	99.705%
3487	牡	4699	0.000%	99.705%
3488	衮	4695	0.000%	99.706%
3489	哒	4692	0.000%	99.706%
3490	淤	4684	0.000%	99.707%
3491	祁	4670	0.000%	99.707%
3492	札	4659	0.000%	99.708%
3493	躏	4654	0.000%	99.708%
3494	蹊	4640	0.000%	99.709%
3495	胄	4636	0.000%	99.709%
3496	棕	4628	0.000%	99.710%
3497	矜	4621	0.000%	99.710%
3498	毗	4603	0.000%	99.710%
3499	俨	4602	0.000%	99.711%
3500	肮	4595	0.000%	99.711%
3501	酱	4595	0.000%	99.712%
3502	磐	4581	0.000%	99.712%
3503	呱	4567	0.000%	99.713%
3504	臻	4567	0.000%	99.713%
3505	鬓	4561	0.000%	99.714%
3506	筱	4555	0.000%	99.714%
3507	铿	4554	0.000%	99.715%
3508	胴	4549	0.000%	99.715%
3509	雌	4545	0.000%	99.715%
3510	硝	4537	0.000%	99.716%
3511	瀛	4535	0.000%	99.716%
3512	鞍	4532	0.000%	99.717%
3513	喋	4521	0.000%	99.717%
3514	锯	4519	0.000%	99.718%
3515	暑	4517	0.000%	99.718%
3516	沪	4516	0.000%	99.719%
3517	迢	4508	0.000%	99.719%
3518	玺	4504	0.000%	99.719%
3519	拈	4497	0.000%	99.720%
3520	羁	4491	0.000%	99.720%
3521	蜿	4484	0.000%	99.721%
3522	衲	4484	0.000%	99.721%
3523	箍	4481	0.000%	99.722%
3524	赃	4478	0.000%	99.722%
3525	伫	4444	0.000%	99.723%
3526	幺	4438	0.000%	99.723%
3527	剖	4420	0.000%	99.723%
3528	呗	4417	0.000%	99.724%
3529	恤	4415	0.000%	99.724%
3530	茸	4409	0.000%	99.725%
3531	钵	4403	0.000%	99.725%
3532	婧	4399	0.000%	99.726%
3533	贿	4397	0.000%	99.726%
3534	闵	4397	0.000%	99.726%
3535	饕	4388	0.000%	99.727%
3536	驹	4387	0.000%	99.727%
3537	辎	4367	0.000%	99.728%
3538	邑	4365	0.000%	99.728%
3539	巩	4362	0.000%	99.729%
3540	蝗	4360	0.000%	99.729%
3541	崭	4359	0.000%	99.729%
3542	吮	4355	0.000%	99.730%
3543	谴	4349	0.000%	99.730%
3544	躇	4349	0.000%	99.731%
3545	钳	4349	0.000%	99.731%
3546	踌	4348	0.000%	99.732%
3547	蹑	4347	0.000%	99.732%
3548	噎	4343	0.000%	99.732%
3549	俐	4318	0.000%	99.733%
3550	刊	4314	0.000%	99.733%
3551	矗	4298	0.000%	99.734%
3552	湮	4292	0.000%	99.734%
3553	鸠	4274	0.000%	99.735%
3554	亥	4273	0.000%	99.735%
3555	踞	4271	0.000%	99.735%
3556	癫	4268	0.000%	99.736%
3557	薰	4246	0.000%	99.736%
3558	弑	4237	0.000%	99.737%
3559	惦	4230	0.000%	99.737%
3560	渍	4230	0.000%	99.738%
3561	诫	4223	0.000%	99.738%
3562	伎	4222	0.000%	99.738%
3563	岌	4199	0.000%	99.739%
3564	褚	4193	0.000%	99.739%
3565	莞	4192	0.000%	99.740%
3566	谑	4190	0.000%	99.740%
3567	铐	4187	0.000%	99.740%
3568	奠	4185	0.000%	99.741%
3569	赘	4178	0.000%	99.741%
3570	蜈	4176	0.000%	99.742%
3571	诣	4176	0.000%	99.742%
3572	砌	4173	0.000%	99.743%
3573	锈	4171	0.000%	99.743%
3574	桅	4155	0.000%	99.743%
3575	邯	4151	0.000%	99.744%
3576	汴	4142	0.000%	99.744%
3577	旎	4141	0.000%	99.745%
3578	窖	4138	0.000%	99.745%
3579	椒	4135	0.000%	99.745%
3580	鲲	4119	0.000%	99.746%
3581	燎	4118	0.000%	99.746%
3582	诶	4118	0.000%	99.747%
3583	惴	4111	0.000%	99.747%
3584	窦	4099	0.000%	99.747%
3585	逵	4090	0.000%	99.748%
3586	噔	4087	0.000%	99.748%
3587	岱	4081	0.000%	99.749%
3588	飕	4076	0.000%	99.749%
3589	岐	4070	0.000%	99.749%
3590	隘	4070	0.000%	99.750%
3591	辫	4066	0.000%	99.750%
3592	笃	4065	0.000%	99.751%
3593	疮	4062	0.000%	99.751%
3594	酌	4057	0.000%	99.751%
3595	帷	4051	0.000%	99.752%
3596	玮	4051	0.000%	99.752%
3597	筛	4042	0.000%	99.753%
3598	茱	4034	0.000%	99.753%
3599	捋	4029	0.000%	99.753%
3600	牟	4025	0.000%	99.754%
3601	哝	3999	0.000%	99.754%
3602	缇	3982	0.000%	99.755%
3603	鄂	3978	0.000%	99.755%
3604	鸳	3974	0.000%	99.755%
3605	呦	3966	0.000%	99.756%
3606	峦	3966	0.000%	99.756%
3607	瞩	3965	0.000%	99.757%
3608	汩	3964	0.000%	99.757%
3609	蜃	3962	0.000%	99.757%
3610	掣	3960	0.000%	99.758%
3611	嘤	3959	0.000%	99.758%
3612	楮	3958	0.000%	99.759%
3613	餮	3957	0.000%	99.759%
3614	邬	3956	0.000%	99.759%
3615	娄	3951	0.000%	99.760%
3616	瓮	3950	0.000%	99.760%
3617	蟆	3943	0.000%	99.761%
3618	敝	3942	0.000%	99.761%
3619	啷	3941	0.000%	99.761%
3620	匡	3934	0.000%	99.762%
3621	顼	3934	0.000%	99.762%
3622	洼	3931	0.000%	99.762%
3623	阉	3931	0.000%	99.763%
3624	唏	3929	0.000%	99.763%
3625	孺	3927	0.000%	99.764%
3626	孜	3924	0.000%	99.764%
3627	烘	3923	0.000%	99.764%
3628	拷	3920	0.000%	99.765%
3629	鑫	3916	0.000%	99.765%
3630	骰	3913	0.000%	99.766%
3631	掰	3894	0.000%	99.766%
3632	慵	3890	0.000%	99.766%
3633	闽	3884	0.000%	99.767%
3634	睨	3875	0.000%	99.767%
3635	蚣	3874	0.000%	99.767%
3636	龌	3864	0.000%	99.768%
3637	茗	3856	0.000%	99.768%
3638	冢	3853	0.000%	99.769%
3639	咣	3853	0.000%	99.769%
3640	飒	3847	0.000%	99.769%
3641	咎	3836	0.000%	99.770%
3642	憧	3831	0.000%	99.770%
3643	绎	3830	0.000%	99.771%
3644	靥	3825	0.000%	99.771%
3645	铅	3822	0.000%	99.771%
3646	喏	3812	0.000%	99.772%
3647	皎	3788	0.000%	99.772%
3648	楷	3786	0.000%	99.772%
3649	龊	3782	0.000%	99.773%
3650	黠	3775	0.000%	99.773%
3651	啄	3765	0.000%	99.774%
3652	粪	3750	0.000%	99.774%
3653	杠	3735	0.000%	99.774%
3654	鸯	3732	0.000%	99.775%
3655	柬	3725	0.000%	99.775%
3656	饲	3721	0.000%	99.775%
3657	窑	3717	0.000%	99.776%
3658	闸	3712	0.000%	99.776%
3659	隼	3709	0.000%	99.776%
3660	菌	3703	0.000%	99.777%
3661	膳	3702	0.000%	99.777%
3662	憬	3679	0.000%	99.778%
3663	羔	3676	0.000%	99.778%
3664	喵	3668	0.000%	99.778%
3665	苔	3667	0.000%	99.779%
3666	淼	3666	0.000%	99.779%
3667	寰	3662	0.000%	99.779%
3668	啬	3658	0.000%	99.780%
3669	酝	3657	0.000%	99.780%
3670	旖	3655	0.000%	99.780%
3671	阖	3651	0.000%	99.781%
3672	捍	3633	0.000%	99.781%
3673	颍	3633	0.000%	99.782%
3674	榨	3625	0.000%	99.782%
3675	缅	3614	0.000%	99.782%
3676	乒	3613	0.000%	99.783%
3677	剁	3613	0.000%	99.783%
3678	杵	3610	0.000%	99.783%
3679	髯	3610	0.000%	99.784%
3680	垣	3604	0.000%	99.784%
3681	伢	3596	0.000%	99.784%
3682	瞑	3591	0.000%	99.785%
3683	壑	3590	0.000%	99.785%
3684	殉	3583	0.000%	99.785%
3685	诲	3571	0.000%	99.786%
3686	噤	3552	0.000%	99.786%
3687	瓒	3532	0.000%	99.787%
3688	淬	3531	0.000%	99.787%
3689	筠	3529	0.000%	99.787%
3690	兖	3525	0.000%	99.788%
3691	坍	3524	0.000%	99.788%
3692	笈	3522	0.000%	99.788%
3693	庵	3519	0.000%	99.789%
3694	扉	3514	0.000%	99.789%
3695	奚	3508	0.000%	99.789%
3696	纶	3501	0.000%	99.790%
3697	椎	3498	0.000%	99.790%
3698	宦	3497	0.000%	99.790%
3699	苞	3490	0.000%	99.791%
3700	贲	3488	0.000%	99.791%
3701	梓	3487	0.000%	99.791%
3702	褒	3485	0.000%	99.792%
3703	唆	3480	0.000%	99.792%
3704	琶	3480	0.000%	99.792%
3705	苇	3479	0.000%	99.793%
3706	咂	3473	0.000%	99.793%
3707	毋	3467	0.000%	99.793%
3708	蜕	3464	0.000%	99.794%
3709	辐	3459	0.000%	99.794%
3710	盎	3454	0.000%	99.794%
3711	袜	3449	0.000%	99.795%
3712	蕃	3440	0.000%	99.795%
3713	醇	3440	0.000%	99.795%
3714	峥	3437	0.000%	99.796%
3715	螳	3430	0.000%	99.796%
3716	簸	3426	0.000%	99.796%
3717	粟	3413	0.000%	99.797%
3718	谛	3413	0.000%	99.797%
3719	蹋	3401	0.000%	99.798%
3720	拗	3399	0.000%	99.798%
3721	橡	3398	0.000%	99.798%
3722	馒	3391	0.000%	99.799%
3723	陕	3386	0.000%	99.799%
3724	穗	3385	0.000%	99.799%
3725	邺	3381	0.000%	99.800%
3726	晁	3380	0.000%	99.800%
3727	藻	3376	0.000%	99.800%
3728	橘	3370	0.000%	99.801%
3729	恻	3367	0.000%	99.801%
3730	膺	3364	0.000%	99.801%
3731	弈	3356	0.000%	99.802%
3732	馋	3356	0.000%	99.802%
3733	佟	3351	0.000%	99.802%
3734	枣	3350	0.000%	99.803%
3735	遐	3347	0.000%	99.803%
3736	潺	3340	0.000%	99.803%
3737	啜	3332	0.000%	99.803%
3738	抉	3332	0.000%	99.804%
3739	痪	3330	0.000%	99.804%
3740	撮	3323	0.000%	99.804%
3741	筏	3322	0.000%	99.805%
3742	拌	3321	0.000%	99.805%
3743	霭	3320	0.000%	99.805%
3744	耷	3317	0.000%	99.806%
3745	帛	3310	0.000%	99.806%
3746	郢	3308	0.000%	99.806%
3747	匍	3300	0.000%	99.807%
3748	炬	3286	0.000%	99.807%
3749	娑	3271	0.000%	99.807%
3750	乓	3263	0.000%	99.808%
3751	纬	3262	0.000%	99.808%
3752	嬴	3258	0.000%	99.808%
3753	鹭	3239	0.000%	99.809%
3754	驮	3238	0.000%	99.809%
3755	碾	3232	0.000%	99.809%
3756	砾	3229	0.000%	99.810%
3757	谏	3229	0.000%	99.810%
3758	竺	3228	0.000%	99.810%
3759	迳	3226	0.000%	99.811%
3760	娓	3225	0.000%	99.811%
3761	陇	3219	0.000%	99.811%
3762	沥	3216	0.000%	99.812%
3763	玎	3216	0.000%	99.812%
3764	胥	3198	0.000%	99.812%
3765	旌	3194	0.000%	99.813%
3766	墩	3188	0.000%	99.813%
3767	眦	3187	0.000%	99.813%
3768	篡	3181	0.000%	99.813%
3769	睦	3180	0.000%	99.814%
3770	咛	3179	0.000%	99.814%
3771	噘	3177	0.000%	99.814%
3772	阑	3170	0.000%	99.815%
3773	琵	3165	0.000%	99.815%
3774	咀	3164	0.000%	99.815%
3775	羹	3160	0.000%	99.816%
3776	嫦	3156	0.000%	99.816%
3777	涧	3155	0.000%	99.816%
3778	呲	3154	0.000%	99.817%
3779	曜	3153	0.000%	99.817%
3780	馅	3148	0.000%	99.817%
3781	胭	3143	0.000%	99.818%
3782	诬	3138	0.000%	99.818%
3783	亘	3136	0.000%	99.818%
3784	讷	3136	0.000%	99.818%
3785	侬	3132	0.000%	99.819%
3786	瘴	3131	0.000%	99.819%
3787	昙	3128	0.000%	99.819%
3788	禧	3123	0.000%	99.820%
3789	丕	3120	0.000%	99.820%
3790	孵	3114	0.000%	99.820%
3791	腆	3099	0.000%	99.821%
3792	濒	3097	0.000%	99.821%
3793	剐	3096	0.000%	99.821%
3794	删	3095	0.000%	99.822%
3795	铳	3090	0.000%	99.822%
3796	擞	3085	0.000%	99.822%
3797	簧	3083	0.000%	99.822%
3798	磷	3082	0.000%	99.823%
3799	辗	3071	0.000%	99.823%
3800	匐	3066	0.000%	99.823%
3801	曝	3054	0.000%	99.824%
3802	徨	3049	0.000%	99.824%
3803	粼	3048	0.000%	99.824%
3804	桨	3047	0.000%	99.825%
3805	偃	3039	0.000%	99.825%
3806	楣	3028	0.000%	99.825%
3807	缤	3024	0.000%	99.825%
3808	铎	3019	0.000%	99.826%
3809	锭	3019	0.000%	99.826%
3810	珈	3013	0.000%	99.826%
3811	阐	3007	0.000%	99.827%
3812	婀	3002	0.000%	99.827%
3813	宓	2999	0.000%	99.827%
3814	瓯	2999	0.000%	99.828%
3815	魃	2994	0.000%	99.828%
3816	卉	2990	0.000%	99.828%
3817	踝	2989	0.000%	99.828%
3818	荼	2984	0.000%	99.829%
3819	槛	2983	0.000%	99.829%
3820	姒	2976	0.000%	99.829%
3821	吠	2967	0.000%	99.830%
3822	槌	2967	0.000%	99.830%
3823	鹊	2967	0.000%	99.830%
3824	剃	2958	0.000%	99.831%
3825	瑙	2956	0.000%	99.831%
3826	皂	2953	0.000%	99.831%
3827	蟠	2943	0.000%	99.831%
3828	谄	2934	0.000%	99.832%
3829	颌	2929	0.000%	99.832%
3830	蛰	2925	0.000%	99.832%
3831	刨	2924	0.000%	99.833%
3832	锄	2924	0.000%	99.833%
3833	浏	2917	0.000%	99.833%
3834	瘸	2912	0.000%	99.833%
3835	飚	2904	0.000%	99.834%
3836	卤	2898	0.000%	99.834%
3837	呤	2890	0.000%	99.834%
3838	戍	2889	0.000%	99.835%
3839	馁	2886	0.000%	99.835%
3840	叟	2876	0.000%	99.835%
3841	琰	2871	0.000%	99.835%
3842	垠	2868	0.000%	99.836%
3843	匾	2867	0.000%	99.836%
3844	玟	2862	0.000%	99.836%
3845	炳	2855	0.000%	99.837%
3846	窈	2847	0.000%	99.837%
3847	婊	2846	0.000%	99.837%
3848	杞	2846	0.000%	99.837%
3849	瓢	2846	0.000%	99.838%
3850	嬷	2840	0.000%	99.838%
3851	栓	2834	0.000%	99.838%
3852	嫖	2824	0.000%	99.838%
3853	榭	2823	0.000%	99.839%
3854	殒	2817	0.000%	99.839%
3855	烹	2811	0.000%	99.839%
3856	寅	2807	0.000%	99.840%
3857	礴	2785	0.000%	99.840%
3858	隅	2785	0.000%	99.840%
3859	譬	2779	0.000%	99.840%
3860	绛	2777	0.000%	99.841%
3861	蒜	2777	0.000%	99.841%
3862	筐	2773	0.000%	99.841%
3863	挲	2771	0.000%	99.842%
3864	蛾	2769	0.000%	99.842%
3865	炊	2768	0.000%	99.842%
3866	迥	2761	0.000%	99.842%
3867	骜	2760	0.000%	99.843%
3868	猬	2756	0.000%	99.843%
3869	壹	2755	0.000%	99.843%
3870	靳	2752	0.000%	99.843%
3871	蕉	2745	0.000%	99.844%
3872	腋	2738	0.000%	99.844%
3873	簪	2730	0.000%	99.844%
3874	窕	2724	0.000%	99.845%
3875	鸥	2723	0.000%	99.845%
3876	俑	2716	0.000%	99.845%
3877	垢	2712	0.000%	99.845%
3878	珞	2710	0.000%	99.846%
3879	芮	2706	0.000%	99.846%
3880	轼	2696	0.000%	99.846%
3881	潞	2691	0.000%	99.846%
3882	稣	2680	0.000%	99.847%
3883	沣	2671	0.000%	99.847%
3884	屉	2670	0.000%	99.847%
3885	纨	2670	0.000%	99.847%
3886	稼	2668	0.000%	99.848%
3887	簿	2667	0.000%	99.848%
3888	笋	2666	0.000%	99.848%
3889	鳌	2664	0.000%	99.849%
3890	弼	2656	0.000%	99.849%
3891	垄	2653	0.000%	99.849%
3892	魑	2652	0.000%	99.849%
3893	馀	2651	0.000%	99.850%
3894	黔	2646	0.000%	99.850%
3895	涔	2638	0.000%	99.850%
3896	贽	2638	0.000%	99.850%
3897	麴	2638	0.000%	99.851%
3898	绾	2637	0.000%	99.851%
3899	藐	2635	0.000%	99.851%
3900	钗	2614	0.000%	99.851%
