词语	频次
，	89504
的	58995
。	39388
、	16578
了	14876
在	12371
“	12291
”	12261
是	9670
和	9105
我	6911
他	6179
一	5805
有	4433
：	4405
中	4198
也	4117
不	4094
就	3877
与	3790
这	3725
为	3601
对	3590
着	3521
你	3428
年	3365
上	3197
人	3174
她	3099
都	3031
一个	2935
？	2922
说	2832
地	2815
等	2726
中国	2643
（	2491
）	2489
《	2470
》	2470
要	2466
发展	2273
从	2266
个	2122
到	2118
而	2091
被	1944
大	1918
我们	1906
自己	1834
…	1827
以	1817
还	1806
将	1789
没有	1774
来	1767
但	1762
把	1739
—	1727
；	1722
.	1709
研究	1666
文化	1642
会	1624
新	1604
,	1595
又	1581
让	1569
之	1564
后	1540
里	1539
！	1514
去	1512
多	1506
时	1499
看	1486
很	1463
两	1441
得	1406
能	1361
更	1358
社会	1337
可以	1330
工作	1322
月	1296
问题	1273
他们	1234
就是	1216
那	1201
这个	1196
并	1194
好	1150
给	1141
小	1125
什么	1100
其	1088
下	1087
国家	1077
ｅｑｕａｔｉｏｎ	1074
进行	1034
所	1018
于	1016
用	1014
三	1006
建设	967
想	956
重要	955
日	946
最	928
高	924
过	921
已经	920
1	897
做	882
世界	881
)	879
因为	879
出	878
通过	878
(	875
教育	874
却	842
这样	813
成为	802
没	802
时间	796
技术	786
不是	784
它	781
或	779
经济	779
可	778
需要	774
服务	771
再	760
2	752
生活	742
知道	742
向	739
由	726
开始	710
这些	710
次	704
还是	700
才	698
作为	693
只	693
时代	691
走	684
一种	681
企业	678
学生	676
美国	671
创新	667
3	666
数据	664
时候	664
当	656
传统	653
像	651
二	650
几	644
主要	628
历史	628
起来	627
点	623
学习	611
可能	608
啊	608
实现	608
及	603
不同	600
国际	600
性	599
改革	598
以及	596
第	592
孩子	591
具有	590
如果	590
个人	585
-	580
第一	580
影响	579
．	575
%	574
事	574
吗	574
现在	573
这种	572
各	570
质量	570
已	569
一些	565
天	565
发现	562
对于	559
不能	557
关系	557
先生	556
跟	552
项目	550
前	545
同时	542
过程	540
相关	539
信息	535
家	535
环境	535
这是	535
方面	531
行为	530
则	529
者	525
政府	521
吧	520
们	519
出来	519
推进	517
比	516
管理	516
也是	515
看到	515
领域	514
能力	510
5	509
人民	509
呢	509
合作	508
大学	507
位	506
城市	505
组织	503
四	502
理论	500
不断	496
要求	496
如	495
4	494
方式	491
认为	490
市场	489
人们	486
提出	485
所以	483
问	479
之后	478
长	478
怎么	477
老	477
无	476
支持	475
使	473
艺术	471
精神	469
道	469
很多	468
推动	467
学	464
地方	463
:	461
一样	461
作用	456
学术	455
2019	454
岁	454
情况	454
学校	452
起	451
其中	449
只有	449
出现	446
都是	446
还有	442
提供	441
该	440
觉得	438
当时	437
成	437
只是	433
产业	432
方法	430
科学	430
虽然	430
一直	429
但是	429
治理	429
